kw,count,%_Human_Min,%_Human_Mean,%_Human_Max,%_AI_Min,%_AI_Mean,%_AI_max
high waisted black pants,10,0.0,64.6,100.0,0.0,18.8,92.8
high waisted swim shorts,11,0.0,62.5,99.2,0.0,16.1,71.3
high waisted work pants,8,0.0,69.2,100.0,0.0,10.8,50.5
his and hers wedding bands,16,0.0,57.4,99.9,0.0,26.8,95.4
hit clips,9,0.0,52.6,100.0,0.0,7.4,78.0
hives from sun,20,58.2,88.1,100.0,0.0,11.9,41.8
home office chair,8,0.0,56.0,99.9,0.0,5.6,26.1
home remodeling companies,18,11.3,84.3,99.9,0.1,15.7,88.7
hoochie shorts,12,0.0,61.6,100.0,0.0,18.4,99.9
hoodies for men,10,0.0,68.7,98.8,0.0,22.2,86.5
horny goat weed side effects,20,5.0,72.7,99.3,0.7,27.3,95.0
hose head,11,0.0,58.2,98.7,0.0,15.1,56.4
hot tub steps,11,0.0,58.8,100.0,0.0,14.5,82.0
hot tub vs jacuzzi,18,66.8,93.6,100.0,0.0,6.4,33.2
house cleaning schedule,19,68.4,93.6,100.0,0.0,6.4,31.6
house dresses for women,13,0.0,73.7,100.0,0.0,7.5,67.1
how do you get rid of carpenter ants,17,0.0,81.1,100.0,0.0,13.4,93.4
how do you get tonsil stones,20,17.5,89.1,100.0,0.0,10.9,82.5
how does a self cleaning oven work,18,53.6,91.6,100.0,0.0,8.4,46.4
how long after being exposed to covid,19,0.0,59.0,98.5,0.0,36.0,94.8
how long do petunias last,17,68.1,96.2,100.0,0.0,3.8,31.9
how long does it take for magnesium citrate to work,16,0.0,68.9,99.8,0.0,20.0,69.5
how long does nicotine stay on your system,19,25.0,84.8,99.8,0.2,15.2,75.0
how many grams of creatine a day,17,0.0,82.3,99.6,0.0,12.1,46.0
how much does a hummingbird weigh,18,0.0,80.6,100.0,0.0,9.4,94.8
how much sleep is too much,20,34.7,85.9,99.9,0.1,14.1,65.3
how often do orchids bloom,17,0.0,79.0,100.0,0.0,10.4,65.2
how to alleviate lower back pain,20,29.0,78.6,99.7,0.3,21.4,71.0
how to attract bees,16,0.0,84.3,100.0,0.0,9.8,47.1
how to clean a shower head,17,91.8,97.8,100.0,0.0,2.2,8.2
how to clean blackstone griddle,17,0.0,59.8,98.6,0.0,34.6,91.9
how to clean blinds easily,15,80.6,97.1,100.0,0.0,2.9,19.4
how to clean coffee maker with vinegar,15,79.0,95.7,100.0,0.0,4.3,21.0
how to clean fabric couch,18,51.4,92.5,100.0,0.0,7.5,48.6
how to clean leather furniture,19,42.3,95.6,100.0,0.0,4.4,57.7
how to clean makeup brushes,17,3.1,91.4,100.0,0.0,8.6,96.9
how to clean my hair brush,17,88.5,96.9,100.0,0.0,3.1,11.5
how to clean your ears,18,0.0,86.5,100.0,0.0,8.2,49.2
how to combine tile and wood flooring,15,76.6,93.0,100.0,0.0,7.0,23.4
how to deadhead canna lilies,12,49.9,92.5,100.0,0.0,7.5,50.1
how to deodorize carpet,19,88.5,98.2,100.0,0.0,1.8,11.5
how to dry shoes in dryer,15,0.0,75.9,100.0,0.0,12.3,73.4
how to finish concrete,17,0.0,89.8,100.0,0.0,4.7,30.2
how to get rid of a charlie horse,18,60.5,92.4,100.0,0.0,7.6,39.5
how to get rid of ants in the house,17,0.0,84.4,99.8,0.0,10.1,66.2
how to get rid of cats,16,0.0,87.4,100.0,0.0,6.7,29.8
how to get rid of chigger bites,19,0.0,87.9,100.0,0.0,7.1,40.0
how to get rid of musty smell,20,21.6,93.5,100.0,0.0,6.5,78.4
how to get rid of pill bugs,18,36.2,88.9,100.0,0.0,11.1,63.8
how to get rid of potato bugs,18,74.3,94.3,100.0,0.0,5.7,25.7
how to get rid of warts,18,22.7,76.1,100.0,0.0,23.9,77.3
how to get rust stains out of clothes,19,43.8,89.1,100.0,0.0,10.9,56.2
how to increase leptin,16,15.6,79.7,98.8,1.2,20.3,84.4
how to induce labor at home,17,43.6,91.4,100.0,0.0,8.6,56.4
how to install carpet,17,57.7,95.3,100.0,0.0,4.7,42.3
how to install ceiling light,14,72.0,93.4,99.7,0.3,6.6,28.0
how to iron pants,18,8.1,85.2,99.9,0.1,14.8,91.9
how to keep flowers fresh,18,0.0,86.6,100.0,0.0,3.4,21.1
how to make a chicken coop,16,51.8,89.5,100.0,0.0,10.5,48.2
how to make disinfectant wipes,18,65.3,95.1,100.0,0.0,4.9,34.7
how to mount a tv on the wall,13,37.3,84.0,99.8,0.2,16.0,62.7
how to paint paneling,16,52.2,90.0,100.0,0.0,10.0,47.8
how to relieve nerve pain in leg,17,60.0,89.2,99.9,0.1,10.8,40.0
how to remove a tub drain,14,6.4,71.2,99.7,0.3,28.8,93.6
how to remove oil from clothes,18,79.1,96.9,100.0,0.0,3.1,20.9
how to remove spray paint,16,52.4,93.3,99.9,0.1,6.7,47.6
how to repaint a dresser,15,0.0,85.7,99.8,0.0,8.1,67.1
how to repair a hole in drywall,14,0.0,89.2,100.0,0.0,4.1,18.5
how to stop stomach cramps,20,52.2,86.9,100.0,0.0,13.1,47.8
how to take care of chickens,15,60.8,91.4,99.9,0.1,8.6,39.2
how to treat sunburn,20,66.5,94.2,100.0,0.0,5.8,33.5
how to wash birkenstocks,17,0.0,89.3,100.0,0.0,5.1,16.1
how to wet sand,17,2.2,86.3,100.0,0.0,13.7,97.8
hoya flower,18,25.6,94.7,100.0,0.0,5.3,74.4
hoya heart,18,34.5,93.1,100.0,0.0,6.9,65.5
hoya rope,14,0.0,83.6,100.0,0.0,3.9,30.5
hs,17,0.0,65.7,99.4,0.0,19.3,99.2
hunting knife,14,0.0,71.1,97.9,0.0,16.4,100.0
hydrogen peroxide for cleaning,20,50.9,88.4,99.9,0.1,11.6,49.1
hydroxyzine 10mg,17,13.4,67.8,98.7,1.3,32.2,86.6
hypnotherapy,19,72.4,93.7,100.0,0.0,6.3,27.6
hypothyroidism tsh levels,19,50.3,90.4,99.7,0.3,9.6,49.7
i haven't pooped in 3 days,17,0.0,82.8,100.0,0.0,6.7,42.4
i need to get pregnant this month,17,0.0,80.6,99.6,0.0,13.9,59.3
ice cooler,11,0.0,53.9,99.6,0.0,19.4,94.1
ice pack for knee,12,0.0,70.6,99.8,0.0,9.4,49.9
idiopathic hypersomnia,16,0.0,77.3,99.7,0.0,16.8,75.7
immune disorders,17,0.0,75.9,99.8,0.0,13.6,58.4
indigestion symptoms,20,22.4,89.9,99.9,0.1,10.1,77.6
indoor mosquito trap,14,0.0,80.4,100.0,0.0,7.1,35.3
inexpensive desert landscaping ideas,15,51.6,87.6,100.0,0.0,12.4,48.4
infantigo,19,0.0,77.0,99.8,0.0,18.0,54.7
infected dog glands,19,0.0,80.0,100.0,0.0,15.0,87.0
infrared thermometer,11,0.0,53.7,99.6,0.0,15.0,98.5
instant erection pills,17,0.0,78.8,99.6,0.0,15.6,36.1
interior stair railing systems,11,0.0,76.4,99.9,0.0,8.2,65.7
international calling cards,14,59.0,88.2,98.9,1.1,11.8,41.0
inverted nipple meaning,16,0.0,79.6,100.0,0.0,9.3,92.8
iodized salt,14,0.0,79.9,99.9,0.0,13.4,47.8
iphone 12 pro max case,14,0.0,61.8,99.5,0.0,16.0,96.2
ipl facial,19,66.8,92.7,99.9,0.1,7.3,33.2
ipod pro case,13,0.0,54.7,99.9,0.0,26.5,93.9
ipratropium bromide,16,0.0,74.7,99.9,0.0,14.2,44.4
irrigation system repair,13,0.0,73.6,99.8,0.0,19.3,96.9
is a wolf spider poisonous,15,2.6,76.0,99.6,0.4,24.0,97.4
is norovirus airborne,18,5.9,84.6,100.0,0.0,15.4,94.1
is seaweed salad healthy,19,0.0,80.6,99.9,0.0,14.4,92.7
is sleep apnea dangerous,20,58.1,89.0,100.0,0.0,11.0,41.9
is there a cure for cancer,20,4.5,81.7,99.8,0.2,18.3,95.5
is vegetable oil bad for you,20,64.3,90.9,100.0,0.0,9.1,35.7
is white or black wire hot,17,0.0,74.6,100.0,0.0,19.8,99.7
itchy eardrums,20,68.2,95.2,100.0,0.0,4.8,31.8
jack fruit tree,17,0.0,75.8,99.9,0.0,13.6,96.9
jaw ache,17,0.0,78.3,100.0,0.0,16.1,94.6
jaw exercises,16,0.0,79.5,99.9,0.0,9.4,96.4
jeggings for women,8,0.0,56.1,98.8,0.0,23.9,74.5
jillian michaels 30 day shred,13,0.0,71.5,99.9,0.0,9.7,51.5
jordan football cleats,7,0.0,52.3,99.8,0.0,6.0,50.1
juniperus chinensis,14,0.0,67.5,100.0,0.0,6.2,49.3
keyboard piano,13,0.0,64.2,99.3,0.0,12.3,98.6
kids rain boots,10,0.0,60.0,100.0,0.0,16.9,48.8
kissing bug bite mark,20,55.6,92.1,99.8,0.2,7.9,44.4
kitchen corner cabinet,8,0.0,58.3,99.7,0.0,8.3,39.5
kitchen sink with drainboard,10,0.0,73.7,100.0,0.0,9.6,66.3
kitchen table and chairs,9,0.0,54.2,99.6,0.0,27.6,72.1
kitchen wall shelves,11,0.0,57.2,99.9,0.0,16.2,62.6
kitchen wallpapers,17,39.1,84.3,100.0,0.0,15.7,60.9
kitchens with butcher block countertops,14,64.0,89.8,100.0,0.0,10.2,36.0
knuckle rings,10,0.0,39.2,100.0,0.0,27.5,99.9
kre alkalyn,16,0.0,76.6,100.0,0.0,12.3,52.3
l-carnitine,19,0.0,75.1,99.6,0.0,19.9,64.6
lac hydrin,15,0.0,62.4,99.7,0.0,16.5,51.3
laser measuring tape,10,0.0,58.9,97.7,0.0,12.6,55.5
lath and plaster walls,14,0.0,80.6,100.0,0.0,1.8,19.8
lattice panels,9,0.0,47.4,100.0,0.0,27.6,96.8
laundry room,15,0.0,91.9,100.0,0.0,1.8,20.4
lawn irrigation system,15,8.1,90.2,100.0,0.0,9.8,91.9
leather lingerie,13,0.0,50.2,99.3,0.0,26.2,88.9
lecithin supplement,16,0.0,70.9,97.5,0.0,23.2,66.8
lemon juice,10,0.0,67.1,100.0,0.0,9.9,36.3
let plungers,15,13.6,89.0,100.0,0.0,11.0,86.4
lexington family practice,10,0.0,48.1,99.7,0.0,23.3,97.7
lg oled c1,12,0.0,82.3,98.6,0.0,10.0,50.4
lifting straps,18,2.9,82.9,100.0,0.0,17.1,97.1
light bright,9,0.0,47.3,100.0,0.0,12.7,98.4
lilac bush,19,21.1,88.8,100.0,0.0,11.2,78.9
lily of the valley flower,18,0.0,91.3,100.0,0.0,3.4,19.4
linen wrap dress,13,0.0,61.2,100.0,0.0,15.3,89.6
liothyronine sodium,15,0.0,75.7,99.8,0.0,18.0,95.0
lipase levels,17,73.6,93.0,99.8,0.2,7.0,26.4
liquid antacid,11,0.0,61.5,100.0,0.0,23.1,42.7
liquid screen protector,9,0.0,49.6,99.9,0.0,10.4,62.8
little tikes,4,0.0,26.5,99.8,0.0,9.8,93.6
living room fireplace ideas,16,0.0,88.6,100.0,0.0,5.5,55.0
living room interior design trends 2022,19,59.5,94.6,100.0,0.0,5.4,40.5
living room office ideas,17,47.7,92.5,100.0,0.0,7.5,52.3
living room setup ideas,17,62.9,96.5,100.0,0.0,3.5,37.1
livonia family physicians,8,0.0,53.7,99.7,0.0,19.0,87.4
ll bean percale sheets,11,0.0,64.4,99.8,0.0,20.2,83.0
lodge cast iron skillet,11,80.6,95.6,99.9,0.1,4.4,19.4
long white dresses for women,7,0.0,41.6,97.3,0.0,22.1,90.9
lotrimin,10,51.6,84.0,99.3,0.7,16.0,48.4
love in the jungle,12,0.0,72.3,100.0,0.0,7.7,71.0
low bookshelf,11,0.0,57.4,99.9,0.0,21.2,84.0
low cost fire pit landscape design,16,65.3,93.6,100.0,0.0,6.4,34.7
low sodium diet,16,0.0,76.8,99.9,0.0,12.1,48.7
lume deodorant reviews,15,0.0,76.4,100.0,0.0,11.8,54.3
lunchbox backpack,9,0.0,58.5,100.0,0.0,10.7,52.1
lupus feet pictures,18,0.0,83.4,99.9,0.0,11.4,63.2
luxury kitchen,17,0.0,86.4,99.9,0.0,8.0,55.8
lymphatic massage,17,0.0,88.9,100.0,0.0,5.6,43.9
lyrica medicine,18,37.0,73.1,99.6,0.4,26.9,63.0
lysol laundry sanitizer,8,0.0,59.1,99.6,0.0,7.5,24.4
macronutrients,18,12.2,83.7,99.8,0.2,16.3,87.8
maf sensors,12,0.0,73.9,100.0,0.0,11.8,53.1
magnum condoms,12,0.0,65.9,100.0,0.0,9.1,46.2
maid outfit for men,13,0.0,65.0,100.0,0.0,16.2,99.9
male chastity belt,14,0.0,56.9,99.9,0.0,16.8,99.8
male enhancement pills increase size reviews,14,41.9,78.2,97.2,2.8,21.8,58.1
male karen,11,0.0,71.4,100.0,0.0,13.2,98.7
master bathroom remodel,16,42.1,94.7,100.0,0.0,5.3,57.9
mattress topper king,8,0.0,63.7,98.9,0.0,9.0,43.9
maxitrol,13,0.0,74.9,99.7,0.0,11.8,46.4
medications for sinusitis,17,54.4,89.6,99.9,0.1,10.4,45.6
memorial day decorations,13,0.0,70.6,100.0,0.0,16.0,93.6
mens jackets,10,43.4,79.0,97.2,2.8,21.0,56.6
mens sweatpants,9,0.0,56.8,100.0,0.0,18.2,92.8
metal door paint,14,70.0,92.5,99.9,0.1,7.5,30.0
methocarbamol 500mg tablets,15,0.0,62.1,98.0,0.0,31.6,99.0
metronidazole gel,15,0.0,73.3,98.8,0.0,20.5,48.3
mexican chips,8,0.0,38.2,99.8,0.0,15.1,98.0
mexican petunia,19,0.0,90.7,100.0,0.0,4.3,50.6
micans philodendron,18,32.0,94.3,100.0,0.0,5.7,68.0
michelle forcier,9,0.0,35.9,99.6,0.0,33.3,99.4
mid90s,12,0.0,77.2,100.0,0.0,15.1,87.5
milestone birthday,15,0.0,80.7,100.0,0.0,2.7,19.8
million bells flowers,16,0.0,83.1,100.0,0.0,1.2,8.3
mini freezers,10,0.0,65.1,98.0,0.0,18.2,76.3
mini upright freezer,10,0.0,71.3,99.8,0.0,12.0,27.4
minimalist style interior design,19,92.8,98.2,100.0,0.0,1.8,7.2
minit medical,8,0.0,56.4,100.0,0.0,10.3,56.9
mo dao zu shi novel,7,0.0,34.6,100.0,0.0,15.4,79.4
modern kitchen cabinets colors,16,90.2,98.4,100.0,0.0,1.6,9.8
mold in bathroom ceiling,18,28.3,86.3,100.0,0.0,13.7,71.7
mold removal services,20,66.8,90.6,99.9,0.1,9.4,33.2
money plant,18,0.0,85.8,100.0,0.0,4.2,26.1
monopoly game,15,0.0,79.9,100.0,0.0,8.3,23.8
monster truck toys,7,0.0,24.3,99.7,0.0,25.7,94.0
monsterra,10,0.0,63.9,99.7,0.0,13.0,75.7
morning sickness,20,3.0,80.4,99.7,0.3,19.6,97.0
motorcycle accessories,15,0.0,55.7,100.0,0.0,27.7,98.9
mounjaro,16,26.8,74.4,99.0,1.0,25.6,73.2
mountain sole sandals,7,0.0,35.1,99.9,0.0,6.0,64.0
mowing lawn,17,86.3,97.5,100.0,0.0,2.5,13.7
mullein herb,20,7.4,83.2,100.0,0.0,16.8,92.6
mushroom squishmallow,10,0.0,21.8,80.3,0.0,40.7,96.2
mushroom wallpaper,13,0.0,61.2,99.9,0.0,25.4,94.0
native shampoo review,6,0.0,42.6,100.0,0.0,24.1,72.8
natural souls shoes,5,0.0,28.9,99.9,0.0,21.1,95.3
nepeta plant,19,0.0,90.1,100.0,0.0,4.9,41.3
neutral ground sherwin williams,10,0.0,71.5,99.4,0.0,5.4,15.7
newborn rash on face,19,1.1,78.9,100.0,0.0,21.1,98.9
nexplanon reviews,15,0.0,73.0,99.8,0.0,20.8,67.5
night eating syndrome,16,0.0,76.4,99.9,0.0,17.7,63.2
nightshades food,18,0.0,90.8,100.0,0.0,3.9,21.0
nike blazer low 77,8,0.0,40.9,99.7,0.0,31.8,99.8
nike renew run,11,0.0,48.3,99.5,0.0,25.0,89.3
nirvana sweatshirt,8,0.0,32.4,99.0,0.0,17.6,94.7
no boundaries clothing,7,0.0,29.1,92.2,0.0,24.8,90.5
no energy tired all the time,20,43.2,83.6,99.9,0.1,16.4,56.8
no tie shoe lace,11,0.0,65.1,99.8,0.0,13.5,65.2
norel ad,12,0.0,63.6,96.4,0.0,22.2,56.6
npk meaning,19,0.0,87.4,100.0,0.0,7.6,61.0
number card,14,0.0,68.4,99.9,0.0,19.1,66.6
nutrafol for women,18,0.0,77.0,99.9,0.0,17.8,56.1
nutrafol reviews,15,0.0,77.5,99.9,0.0,10.7,55.5
nyx brow glue,8,0.0,65.1,98.2,0.0,7.6,46.9
ocd symptoms,15,53.7,85.0,99.8,0.2,15.0,46.3
odd,20,5.4,82.0,99.7,0.3,18.0,94.6
office chair mat,9,0.0,60.6,99.2,0.0,8.7,29.7
oily face,19,0.0,88.0,100.0,0.0,7.0,44.5
okg,13,0.0,69.9,100.0,0.0,11.3,50.6
ondansetron 4mg,15,0.0,71.8,98.8,0.0,21.9,67.4
orange milkweed,16,9.0,88.6,99.9,0.1,11.4,91.0
orchid cactus,13,0.0,72.2,99.9,0.0,9.0,72.7
ostomy bag,16,60.2,89.1,99.6,0.4,10.9,39.8
ottoman coffee table,8,0.0,51.1,96.8,0.0,21.6,64.1
our journey together trump,11,0.0,65.6,100.0,0.0,13.0,76.1
ovarian cancer real pictures,15,0.0,60.4,99.8,0.0,18.5,96.9
overdose on melatonin,17,52.5,81.8,99.9,0.1,18.2,47.5
oversized t shirt women,11,0.0,59.6,99.9,0.0,25.0,87.3
ovide,9,0.0,46.0,99.8,0.0,10.2,97.7
ovulation day calculator,17,7.8,80.1,99.7,0.3,19.9,92.2
oxycodone side effects,18,0.0,77.6,99.9,0.0,17.2,45.7
pain relief,18,1.8,75.9,99.9,0.1,24.1,98.2
pain right side abdomen,18,0.0,74.9,99.6,0.0,19.9,72.2
paint colors that go with beige walls,13,0.0,81.0,100.0,0.0,11.8,96.8
paint walls or trim first,15,0.0,73.9,99.8,0.0,14.4,73.4
painted fireplaces,17,7.3,89.3,100.0,0.0,10.7,92.7
painted stairs ideas,17,72.5,97.0,100.0,0.0,3.0,27.5
pantoprazole 20 mg,18,23.2,76.2,99.6,0.4,23.8,76.8
passport holder women,8,0.0,64.0,99.2,0.0,8.7,57.6
penguin squishmallow,11,0.0,38.6,98.8,0.0,34.7,96.3
percocet 10,18,0.0,80.5,99.8,0.0,14.2,44.4
pericardial effusion,15,0.0,82.4,100.0,0.0,11.3,52.7
pet corrector,9,0.0,48.6,100.0,0.0,7.6,60.7
philodendron birkin care,19,24.0,88.7,99.9,0.1,11.3,76.0
pictures of cellulitis,15,0.0,75.2,99.4,0.0,13.1,96.9
pimples in eyelid,19,0.0,83.9,99.9,0.0,11.1,53.0
pine nut benefit,18,0.0,80.4,100.0,0.0,14.4,67.3
pink quill,18,0.0,85.1,100.0,0.0,9.7,60.3
pinworm infection,19,51.0,89.1,99.9,0.1,10.9,49.0
plant potatoes,18,83.4,95.7,100.0,0.0,4.3,16.6
planting blueberries,15,0.0,80.7,100.0,0.0,2.6,18.7
plaster wall,16,0.0,89.4,100.0,0.0,4.7,49.6
playing card holder,11,0.0,51.6,99.9,0.0,17.2,99.5
playstation 2,9,0.0,43.0,99.8,0.0,13.2,95.7
pleurisy symptoms,18,0.0,87.4,99.8,0.0,7.3,26.3
plexion cleanser,13,0.0,57.8,100.0,0.0,23.5,98.2
plus size skort,7,0.0,36.1,98.9,0.0,13.9,83.0
pomegranate vitamins,17,0.0,75.8,100.0,0.0,13.7,88.1
pool house ideas,17,2.4,87.0,100.0,0.0,13.0,97.6
pool noodle,8,0.0,65.6,99.9,0.0,7.1,54.9
pop its,12,0.0,42.2,99.9,0.0,28.4,84.9
portable dishwasher on wheels,8,0.0,54.6,100.0,0.0,6.9,42.4
portable washer and dryer for apartments without hookups,14,0.0,67.1,99.8,0.0,26.2,98.0
posture corrector,13,0.0,68.2,99.7,0.0,8.2,34.4
power surge protector,13,0.0,79.1,99.9,0.0,7.6,26.1
preparing for colonoscopy,16,51.3,89.9,99.9,0.1,10.1,48.7
pressure back of head,20,8.1,84.5,100.0,0.0,15.5,91.9
pressure in back of head,19,8.1,82.4,98.9,1.1,17.6,91.9
pride and prejudice book,14,0.0,66.9,100.0,0.0,10.9,71.4
prime days,18,0.0,86.1,99.7,0.0,8.7,33.6
prime movies,17,0.0,74.5,99.9,0.0,19.9,99.6
pristiq side effects,17,0.0,58.5,93.2,0.0,35.9,71.5
prolotherapy near me,16,0.0,84.3,100.0,0.0,9.8,69.4
prozac medication,18,27.4,73.9,99.9,0.1,26.1,72.6
prozac side effects in women,18,40.8,77.8,99.8,0.2,22.2,59.2
prune juice for babies,15,0.0,74.6,100.0,0.0,13.7,66.8
prv valve,12,5.4,87.1,100.0,0.0,12.9,94.6
psoriasis on black skin,17,41.3,89.5,100.0,0.0,10.5,58.7
psyllium husk,14,0.0,83.6,99.8,0.0,9.7,37.2
ptsd treatment,16,7.4,73.2,97.0,3.0,26.8,92.6
pulled hamstring,18,1.5,83.3,100.0,0.0,16.7,98.5
punk 57,14,0.0,66.6,100.0,0.0,15.8,71.6
purple velvet plant,19,31.8,91.8,99.9,0.1,8.2,68.2
pyridostigmine bromide,16,0.0,80.8,99.9,0.0,13.3,62.7
radiant heat,13,85.7,97.8,100.0,0.0,2.2,14.3
railing height code,13,0.0,74.6,100.0,0.0,6.7,58.3
rainbow bridge poem,14,0.0,79.8,100.0,0.0,7.7,85.5
raisins nutrition,17,0.0,88.8,100.0,0.0,5.7,57.3
range finder,13,0.0,59.8,99.5,0.0,26.9,99.7
rash guard women,13,0.0,64.0,100.0,0.0,22.7,79.8
reading chair,14,0.0,79.0,100.0,0.0,14.3,67.3
rechargeable flashlight,14,0.0,86.7,98.9,0.0,6.6,17.2
rectangular living room layout with tv,15,71.1,94.8,100.0,0.0,5.2,28.9
red and black bugs in garden,18,50.8,92.8,100.0,0.0,7.2,49.2
red assassin bug,14,0.0,68.7,100.0,0.0,9.1,93.9
red blotches on skin,20,0.9,73.9,98.2,1.8,26.1,99.1
red grass,18,0.0,90.9,100.0,0.0,3.9,34.5
redeeming love book,15,0.0,74.4,100.0,0.0,13.8,71.4
reiki massage,15,0.0,85.9,100.0,0.0,7.8,45.5
repotting orchids,18,8.9,88.2,100.0,0.0,11.8,91.1
resource guarding in dogs,19,71.1,95.1,100.0,0.0,4.9,28.9
resurface bathtub,17,91.1,97.5,100.0,0.0,2.5,8.9
retractable baby gate,8,0.0,48.5,99.8,0.0,8.7,37.8
retractable sun shade,15,0.0,72.6,99.9,0.0,15.6,99.5
revatio,16,0.0,72.3,99.9,0.0,21.8,63.7
reverse diabetes,17,55.1,94.4,99.9,0.1,5.6,44.9
river shoes,16,0.0,78.0,99.9,0.0,10.8,36.0
robot pool vacuum,14,0.0,77.7,100.0,0.0,9.8,49.6
rompers,9,0.0,61.4,100.0,0.0,20.4,80.3
room drawing,14,0.0,77.2,99.8,0.0,16.1,96.9
rope,15,0.0,69.2,99.9,0.0,24.6,92.6
rose care,14,0.0,81.4,100.0,0.0,6.1,49.8
rosier miniature rose,13,0.0,85.1,100.0,0.0,1.6,11.6
roulette wheel,10,0.0,47.5,99.8,0.0,15.0,99.3
round wood coffee table,7,0.0,47.5,99.7,0.0,10.8,63.4
rub n buff,13,0.0,58.4,98.5,0.0,13.8,89.2
ruched midi dress,10,0.0,48.0,99.9,0.0,23.5,86.5
rudbeckia,18,0.0,84.1,100.0,0.0,10.6,61.8
rug over carpet,14,56.7,94.1,100.0,0.0,5.9,43.3
runners knee,18,0.0,83.8,100.0,0.0,10.9,85.9
rust stains on clothes,18,51.5,91.6,100.0,0.0,8.4,48.5
sage tea,12,0.0,71.5,99.9,0.0,8.5,45.8
saline spray for piercings,13,0.0,72.4,99.8,0.0,8.8,29.7
salish matter,6,0.0,37.8,96.3,0.0,16.7,87.2
salt rooms,20,77.1,96.1,100.0,0.0,3.9,22.9
sambac jasmine,15,44.7,90.4,100.0,0.0,9.6,55.3
samsung a13,12,0.0,61.5,99.9,0.0,9.1,53.7
samsung galaxy a10e,14,0.1,72.6,100.0,0.0,27.4,99.9
satsuma orange,18,0.0,86.7,100.0,0.0,8.0,56.8
scalp psoriasis causes,19,62.5,86.7,99.9,0.1,13.3,37.5
schilling test,13,0.0,69.7,100.0,0.0,6.8,46.1
screened in back porch ideas,14,59.4,90.2,100.0,0.0,9.8,40.6
screw extractor,12,0.0,66.0,99.4,0.0,19.8,92.4
sea moss health benefits,18,10.3,77.1,99.9,0.1,22.9,89.7
self cleaning oven,18,55.2,89.6,100.0,0.0,10.4,44.8
semi formal wear,11,0.0,78.8,99.8,0.0,5.8,31.9
senna side effects,18,41.6,87.0,100.0,0.0,13.0,58.4
septic,17,0.0,68.2,99.9,0.0,16.8,89.0
septic pump out,18,55.3,91.6,100.0,0.0,8.4,44.7
sequin bodysuit,11,0.0,33.5,86.4,0.0,35.2,96.7
sertraline 50mg,15,0.0,69.2,99.0,0.0,24.5,59.9
shamrock vs clover,19,0.0,89.5,100.0,0.0,5.5,40.2
sharp tvs,9,0.0,46.8,99.8,0.0,17.5,90.6
shea butter,19,0.0,87.3,100.0,0.0,7.7,33.6
sheepskin rug,13,0.0,71.5,99.9,0.0,15.1,75.8
shelf in laundry room,12,0.0,80.3,100.0,0.0,12.0,55.6
shingles on leg pictures,17,0.0,75.8,99.8,0.0,18.6,96.9
shoe cabinet entryway,8,0.0,49.7,100.0,0.0,11.9,69.1
shop fans,10,0.0,64.5,99.9,0.0,12.4,68.7
short jumpsuits for women,5,0.0,46.5,99.8,0.0,9.1,70.0
should you wash new sheets,18,0.0,90.6,100.0,0.0,4.2,22.2
shoulder impingement,15,0.0,86.8,99.9,0.0,1.5,7.8
shower rack,9,0.0,55.7,99.9,0.0,4.3,26.1
side table lamps,12,0.0,72.2,100.0,0.0,13.5,94.7
siding materials,14,70.4,93.0,100.0,0.0,7.0,29.6
signs mirena is wearing off,18,4.3,82.0,100.0,0.0,18.0,95.7
signs your dog loves you,16,89.4,98.3,100.0,0.0,1.7,10.6
sildenafil side effects,18,39.4,67.3,92.2,7.8,32.7,60.6
simp card,13,0.0,50.3,99.1,0.0,30.9,100.0
simple nursery,16,0.0,85.5,100.0,0.0,8.7,58.9
simple small bathroom ideas,16,51.1,95.9,100.0,0.0,4.1,48.9
sing unburied sing,14,0.0,77.3,100.0,0.0,16.0,85.0
sk tools,10,0.0,52.9,99.8,0.0,24.0,86.2
skin growths pictures,19,15.8,78.7,99.9,0.1,21.3,84.2
sleep apnea treatment,19,53.9,86.0,100.0,0.0,14.0,46.1
slugs in garden,18,0.0,91.6,100.0,0.0,3.2,52.6
small bedroom lighting ideas,19,68.0,93.2,100.0,0.0,6.8,32.0
small deep freezer,8,0.0,69.8,99.7,0.0,10.2,27.8
small galley kitchen ideas on a budget,16,91.5,99.1,100.0,0.0,0.9,8.5
small gold hoop earrings,9,0.0,33.6,67.4,0.0,41.4,96.0
small kitchen backsplash ideas,16,60.2,96.3,99.9,0.1,3.7,39.8
small pond ideas with waterfall,13,0.0,85.5,100.0,0.0,7.3,50.9
small riding lawn mower,10,0.0,76.4,99.5,0.0,6.9,26.1
small spiders,13,0.0,65.7,100.0,0.0,6.5,57.5
small stackable washer and dryer,14,0.0,79.9,100.0,0.0,13.4,56.4
small yellow flowers,19,63.9,95.2,100.0,0.0,4.8,36.1
smart garage door opener,14,0.0,76.3,99.6,0.0,11.2,56.7
snap in dentures,19,52.0,92.8,100.0,0.0,7.2,48.0
snow mold,20,73.9,96.7,100.0,0.0,3.3,26.1
snuggie,9,0.0,42.1,99.9,0.0,14.1,73.0
soccer net,14,0.0,75.6,99.9,0.0,11.9,54.9
social anxiety,18,0.0,81.7,99.9,0.0,13.1,42.8
sod installation near me,16,3.9,87.3,100.0,0.0,12.7,96.1
sofra,9,0.0,57.5,100.0,0.0,11.7,98.0
